,created_at,text,reply_count,retweet_count,favorite_count,topic
32,Fri Jan 01 01:09:22 +0000 2021,Why 2021 will be turning point for tackling climate change https://t.co/GH9Lyql3YG,0,0,0,
33,Fri Jan 01 01:09:18 +0000 2021,"#うひーメモ
投稿時間:2021-01-01 10:09:18
Why 2021 will be turning point for tackling climate change
https://t.co/TXefidhUWN
#海外科学",0,0,0,
34,Fri Jan 01 01:09:04 +0000 2021,Machine Learning Vs Climate Change #DeepLearning #learning via https://t.co/kp4jiOLxPU https://t.co/8ebKS2ExaC,0,0,0,
35,Fri Jan 01 01:08:54 +0000 2021,"""Instead of saying that 97% of scientists agree with these theories, it would be more honest to say that 97% of climate scientists who are looking for government grants to study climate change agree with them."" https://t.co/4ExRW2NF7h via @UnionLeader",1,1,9,
36,Fri Jan 01 01:08:49 +0000 2021,Cocks out for climate change,1,0,4,
37,Fri Jan 01 01:07:18 +0000 2021,The Earth has natural cooling &amp; warming periods. Global warming kap,0,0,0,
38,Fri Jan 01 01:06:55 +0000 2021,"We all can change and do this.. 
🌍🌎🌏
Why 2021 will be turning point for tackling climate change https://t.co/x2uMk0FzD0",0,0,0,
39,Fri Jan 01 01:06:19 +0000 2021,"Oh dear Jesus. Babies in cages, 340,000 dead, dozens of trade marks in China, Qatari loans in the billions, climate change denier, anti-masker, &amp; Karen’s sister. YOU HAD THE OPPORTUNITY TO INFLUENCE CHANGE FOR GOOD &amp; YOU FAILED. https://t.co/JFYE3jBDvf",1,0,0,
40,Fri Jan 01 01:06:13 +0000 2021,Why 2021 will be turning point for tackling climate change https://t.co/TOsuqY42qT,0,0,0,
41,Fri Jan 01 01:05:40 +0000 2021,"Some US federal light duty car fleets have a high percentage of low emission vehicles per https://t.co/UbjhBumAph

I'm looking forward to a steady decrease in the limit that defines low emission over the next right years...",0,0,0,
42,Fri Jan 01 01:05:07 +0000 2021,"While COVID Distracted us, the global Climate Crisis went Extreme in 2020 https://t.co/rq2PpJGvSO via @jricole",0,4,1,
43,Fri Jan 01 01:05:06 +0000 2021,"I just made a tax-deductible gift to @NRDC! For a short time, donations are being quadruple matched to help protect our environment and fight against climate change in 2021 -- pitch in now.  https://t.co/6bdgWFmKyc",0,0,1,
44,Fri Jan 01 01:05:00 +0000 2021,The greatest moral issue of our time is the need to fully address the impacts of climate change. The latter is the result of an economic system that puts profit ahead of people and the planet. https://t.co/WWCnBKMUnF,0,0,0,
45,Fri Jan 01 01:04:49 +0000 2021,Could IKEA’s New Tiny House Help Fight the Climate Crisis? https://t.co/dI1Ev6XgtN,0,0,0,
46,Fri Jan 01 01:04:47 +0000 2021,that feeling when you missed david attenborough's speech about climate change cause you was too busy dancing to tom jones https://t.co/eXOKPqAG8V,1,0,3,
47,Fri Jan 01 01:03:31 +0000 2021,"I'm glad that I follow this extreme RW site, so that I can explain how manipulative and disingenuous they are. Bare in mind that they are funded by the extreme RW Koch Brothers, the Climate change deniers. https://t.co/BfQSSC03ol",0,0,0,
48,Fri Jan 01 01:03:31 +0000 2021,Mitsubishi Heavy to build biggest zero-carbon steel plant https://t.co/CR5dNzUnLO (https://t.co/ukDTkXjzPa),0,0,0,
49,Fri Jan 01 01:03:20 +0000 2021,Why 2021 will be turning point for tackling climate change https://t.co/DmFwLubcQF,2,8,13,
